round  loss            accuracy        
1      0.4960          0.8703          
2      0.3498          0.9018          
3      0.2950          0.9138          
4      0.2630          0.9257          
5      0.2421          0.9342          
6      0.2235          0.9399          
7      0.2106          0.9429          
8      0.1973          0.9439          
9      0.1881          0.9500          
10     0.1787          0.9512          
